news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
10;5;3;5;3;3;0;6; ;2;2;3;3; 
10;5;3;5;3;3;5;5;2;2;2;4;2; 
10;5;3;5;3;3;10;3;2;2;2;3;2; 
10;5;3;5;4;2;7;3;2;2;3;6;2; 
10;5;3;5;4;2;7;3;2;2;3;6;3;2
10;5;3;6;2;1;8;4;1;2;3;5;3; 
10;5;3;7;2;2;7;3;1;2;3;5;1; 
10;5;3;7;2;3;3;4;2;2;3;5;2; 
10;5;3;7;3;4;3;5;1;2;1;2;1; 
10;5;3;8;4;2;8;2;2;2;3;6;1; 
10;5;3;9;2;3;0;7;1;2;2;4;1; 
10;5;3;10;2;2;8;3;2;2;2;4;3; 
10;5;4; ;3;1;6;4;2;2;2;3;2; 
10;5;4;2;4;3;1;7;1;2;3;6;2;2
10;5;4;3;3;3;0;7;1;2;3;6;1; 
10;5;4;4;3;3;5;3;1;2;3;5;1; 
10;5;4;5;1;3;9;3;1;2;2;3;2; 
10;5;4;5;2;3;3;6;2;2;1;1;3; 
10;5;4;5;3;2;5;6; ;2;1;2;2; 
10;5;4;5;3;3;4;6;1;2;3;6;1; 
10;5;4;5;3;3;5;3;2;2;1;1;3; 
10;5;4;5;4;4;1;5;2;2;2;4;2; 
10;5;4;6;2;1;6;4;2;2;2;4;2; 
10;5;4;7;3;1;7;5;2;2;2;4;2; 
10;5;4;8;2;2;7;4; ; ;1;1; ; 
10;5;4;8;2;2;8;3;2;2;2;4;3; 
10;5;4;10;2;3;7;6;2;2;2;3;2; 
10;5;4;10;5;2;0;6;2;2;1;1;2;2
12;5;2;5;3;2;6;4;1;2;3;5;3; 
15;1;3;5;4;2;10;3;1;2;1;1;3; 
15;1;3;7;1;2;5;5;2;2;1;2;2; 
15;1;3;10;2;2;5;5;2;2;1;2;3; 
15;1;4;7;3;2;8;3;2;2;1;1;3; 
15;2;3;5;1;3;7;4;2;2;2;3;2; 
15;2;3;7;2;3;5;5;2;2;3;5;3; 
15;2;4; ;2;2;10;3;2;2;2;3;3; 
15;2;4;5;3;2;6;5;2;2;1;1;3;2
15;3; ;10;2;3;7;5;2;2;1;2;3; 
15;3;3;5;3;2;2;6;1;1;1;1;2;1
15;3;4;5;1;3;4;6;1;2;1;2;1; 
15;3;4;5;3;3;3;6;2;2;1;1;2; 
15;3;4;5;4;3;4;6;1;2;3;6;2; 
15;3;4;8;1;3;6;5;2;2;1;1;3;2
15;3;4;10;2;3;10;3;2;2;1;2;3; 
15;4;3;5;3;3;6;5;1;1;2;4;1;1
15;4;4;7;3;2;6;3;2;2;2;3;2; 
15;5;2;1;5;3;2;5;1;2;1;1;1; 
15;5;2;2;4;3;0;6;1;2;2;3;1; 
15;5;2;2;5; ; ; ; ; ; ; ; ; 
15;5;2;5;2;2; ;3;2;2;1;2;2; 
15;5;2;5;2;2;3;5;1;2;3;6;1; 
